Statistics for file: Hamlet.txt
  There are a total of 32110 words in the file.
  Of those, 47 were ignored, leaving 32063 words to process.
  After processing, there are 4825 distinct words in the file

Statistics for file: KingLear.txt
  There are a total of 27818 words in the file.
  Of those, 15 were ignored, leaving 27803 words to process.
  After processing, there are 4191 distinct words in the file

The are 2051 common words in files Hamlet.txt and KingLear.txt.
The common words are:
    Word      Hamlet.txt    KingLear.txt
------------  ------------  ------------
a                 569            415
abhorred            1              1
able                1              1
about              18             11
above               4              6
abroad              1              2
absolute            2              1
abuse               1              1
abuses              1              1
accent              2              1
according           2              1
account             1              1
accuse              1              1
acquaint            1              2
act                19             10
action             10              2
addition            3              4
address             1              1
adieu               8              1
admirable           1              1
admiration          3              1
advancement         2              1
advantage           1              1
advice              3              1
advise              1              5
afar                2              1
affairs             1              1
affection           4              3
afflict             1              1
affliction          3              3
afoot               1              2
after              15             13
again              34             21
against            24             23
age                 9             12
ago                 1              1
ah                  3              1
air                13              8
airs                1              1
alack               3             16
alas               10              2
all               123            107
all's               2              2
allegiance          1              1
allow               1              4
allowance           2              2
almost             10              6
alone              10              8
along               3              2
aloof               2              1
already             6              2
also                1              1
altitude            1              1
altogether          1              3
always              1              2
am                 56             86
ambition            6              1
amities             1              1
among               1              3
an                 56             48
ancient             1              5
and               968            737
angel               4              1
anger               1              3
angry               1              1
anon                6              1
another            13             10
answer             14             16
answer'd            1              1
answers             1              1
any                12             18
appear              3              8
appears             2              4
appetite            1              2
apprehension        2              1
approve             2              2
apt                 2              2
are               132            128
argument            4              1
aright              1              2
arm                 5              9
arm'd               2              2
armed               2              5
arms               10             11
army                2              5
arraign             1              3
arrant              2              1
arrest              1              1
art                17             41
as                228            122
aside              19             13
ask                 2              9
ask'd               1              1
asleep              2              3
aspect              1              1
ass                 4              2
assume              4              1
assurance           2              2
assure              1              1
at                 87             62
attend              1              6
attendant           5              4
attendants          9              7
attended            1              1
aught              10              4
auspicious          1              1
authorities         1              1
avoid               3              1
avouch              1              1
awake               2              2
away               25             37
awhile             10              4
ay                 38             19
aye                 1              1
babe                1              1
back                8             14
bad                 7              3
bar                 1              3
bare                1              5
bark                1              3
base                5              8
baseness            1              1
bastard             1              6
bawd                1              1
bawds               1              1
be                223            170
bear               15             17
beard               6              8
bearing             1              2
bears               2              3
beast               6              2
beat                1              4
beaten              1              2
beating             3              1
beats               1              1
beauty              6              2
became              1              1
because             1              3
becomes             3              1
bed                12              8
been               28             30
beetles             1              1
before             22             23
beg                 7              4
beget               1              2
beggar              3              5
beggars             1              3
begin               6              4
begins              2              3
beguile             2              1
behind              9              5
behold              1              5
being              12             16
believe            19              3
belike              2              1
below               3              3
bend                3              2
beneath             4              2
benefit             1              1
bent                3              2
beseech             7              8
besides             1              2
best               11             20
bestow              4              3
bestow'd            2              1
bethought           1              1
better             15             29
between            15              9
beware              2              2
beyond              2              2
bias                1              1
bid                 6              9
bird                2              1
birds               1              1
birth               4              1
bites               1              1
bitter              3              4
black               8              5
blame               3              8
blank               2              1
blanket             1              2
blast               2              2
blasting            1              1
blasts              1              3
bleed               2              4
bleeding            1              2
bless               3              8
blessing            5              4
blest               2              2
blind               1              5
blood              19             12
bloody              7              7
blow                3              3
blown               2              2
blows               2              5
bodies              5              2
body               17              8
bold                3              5
bones               4              2
books               1              1
bore                4              1
born                4              5
borne               3              3
bosom               4              4
both               35             20
bound               5              8
bounds              1              1
bounty              1              2
bourn               1              2
bout                1              1
bow                 3              3
boy                 3             15
boys                1              1
brain               6              2
brains              5              2
brave               3              1
brazen              1              1
breach              1              1
bread               1              1
break               8              8
breaking            1              1
breaks              2              2
breath              9              7
breathe             3              1
breathes            1              1
breed               2              2
breeding            2              3
brief               5              3
bring              12             19
bringing            1              1
broke               2              1
broken              1              2
brothel             1              1
brother             9             20
brother's           7              5
brothers            2              1
brought             6             10
brow                3              1
brows               2              1
build               1              2
burn                2              2
burning             2              3
burst               3              3
business           11             15
busy                1              1
but               274            134
button              1              1
buy                 1              2
buzz                2              1
by                118             90
c                   1              1
call               22             21
call'd              2              3
calls               4              5
came                9             14
can                34             39
canker              2              1
cannot             29             22
canst               3              9
cap                 3              3
capable             2              1
capital             2              1
captain             3             11
carefully           1              1
carp                1              1
carry               3              6
cart                1              2
case                1              4
cast                6              6
castle             15             10
cat                 1              2
catch               2              2
caught              2              2
cause              17             13
cease               1              4
censure             4              2
certain             4              5
chamber             3              2
chance              2              5
change              4              5
changed             1              5
changes             1              1
character           2              2
charge              8              3
charity             1              4
cheek               2              2
chide               1              1
child               2             13
children            3              4
choice              6              4
choler              2              1
choose              5              2
churches            1              1
